Entry	Gene	Location
Q62433	Ndrg1	"SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus. Cell membrane {ECO:0000250}. Note=Mainly cytoplasmic but differentially localized to other regions. Associates with the plasma membrane in intestinal epithelia and lactating mammary gland. Translocated to the nucleus in a p53/TP53-dependent manner. In prostate epithelium and placental chorion, located in both the cytoplasm and in the nucleus. No nuclear localization in colon epithelium cells. In intestinal mucosa, prostate and renal cortex, located predominantly adjacent to adherens junctions. Cytoplasmic with granular staining in proximal tubular cells of the kidney and salivary gland ducts. Recruits to the membrane of recycling/sorting and late endosomes via binding to phosphatidylinositol 4-phosphate. Associates with microtubules. Colocalizes with TUBG1 in the centrosome. Cytoplasmic location increased with hypoxia. Phosphorylated form found associated with centromeres during S-phase of mitosis and with the plasma membrane (By similarity). {ECO:0000250}."
Q64322	Npdc1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9WTX4	Nrg4	"SUBCELLULAR LOCATION: [Pro-neuregulin-4, membrane-bound isoform]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Does not seem to be active. {ECO:0000250}.; SUBCELLULAR LOCATION: [Neuregulin-4]: Secreted {ECO:0000250}."
Q9D020	Nt5c3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P20181	Ntf3	SUBCELLULAR LOCATION: Secreted.
Q9WTK0	Nupr1	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O60356}. Cytoplasm {ECO:0000250|UniProtKB:O60356}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O60356}."
Q61146	Ocln	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q16625}; Multi-pass membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q16625}."
Q4KMM3	Oxr1	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Nucleus, nucleolus {ECO:0000269|PubMed:11237729}. Note=According to PubMed:11237729 it is nucleolar."
O35317	Pbx3	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q9QYX7	Pclo	"SUBCELLULAR LOCATION: Cell junction, synapse, presynaptic active zone {ECO:0000269|PubMed:10508862}. Note=Colocalizes with BSN in developing axons. {ECO:0000250|UniProtKB:Q9JKS6}."
Q925I7	Pdgfd	SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Released by platelets upon wounding. {ECO:0000250}.
Q9JK95	Perp	"SUBCELLULAR LOCATION: Cell junction, desmosome {ECO:0000269|PubMed:15797384}. Cell membrane {ECO:0000269|PubMed:15797384}; Multi-pass membrane protein {ECO:0000255}. Note=Associated with desmosomes. {ECO:0000269|PubMed:15797384}."
Q00175	Pgr	"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Nucleoplasmic shuttling is both hormone- and cell cycle-dependent. On hormone stimulation, retained in the cytoplasm in the G(1) and G(2)/M phases (By similarity). {ECO:0000250}."
Q2M3X8	Phactr1	"SUBCELLULAR LOCATION: Cytoplasm. Cell junction, synapse {ECO:0000250}. Nucleus. Note=Enriched at synapses (By similarity). Cytoplasmic in resting cells, and is imported into the nucleus upon serum stimulation. Interaction with actin prevents nuclear import. {ECO:0000250}."
A6H5X4	Phf11d	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P47713	Pla2g4a	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic vesicle. Note=Translocates to membrane vesicles in a calcium-dependent fashion.
Q3USB7	Plcl1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q9JJ00	Plscr1	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O15162}; Single-pass type II membrane protein. Membrane; Lipid-anchor {ECO:0000250}; Cytoplasmic side. Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250|UniProtKB:O15162}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O15162}. Note=Localizes to the perinuclear region in the presence of RELT. {ECO:0000250|UniProtKB:O15162}."
Q9DCW2	Plscr2	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
P58196	Plscr4	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q9DC11	Plxdc2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q8VHQ3	Ppp1r16b	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q96T49}. Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Nucleus {ECO:0000250|UniProtKB:Q96T49}. Cell projection {ECO:0000250|UniProtKB:Q96T49}. Note=Colocalizes with RPSA/LAMR1 in the cell membrane (By similarity). Localizes to the perinuclear region (By similarity). Colocalizes with PTEN at the tip of EC projections (By similarity). {ECO:0000250|UniProtKB:Q95N27, ECO:0000250|UniProtKB:Q96T49}."
Q7TMR0	Prcp	SUBCELLULAR LOCATION: Lysosome {ECO:0000250}.
P04925	Prnp	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11571277, ECO:0000269|PubMed:9837873}; Lipid-anchor, GPI-anchor. Golgi apparatus {ECO:0000269|PubMed:11756421}. Note=Targeted to lipid rafts via association with the heparan sulfate chains of GPC1. Colocates, in the presence of Cu(2+), to. vesicles in para- and perinuclear regions, where both proteins undergo internalization. Heparin displaces PRNP from lipid rafts and promotes endocytosis. {ECO:0000269|PubMed:11571277, ECO:0000269|PubMed:12732622, ECO:0000269|PubMed:16923158, ECO:0000269|PubMed:9837873}."
Q64695	Procr	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q08761	Pros1	SUBCELLULAR LOCATION: Secreted.
P32240	Ptger4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P35822	Ptprk	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q9WUP0	Ramp2	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
O08674	Rbpjl	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9111338}.
Q8VCH7	Rdh10	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9WUK4	Rfc2	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q64374	Rgn	SUBCELLULAR LOCATION: Cytoplasm.
Q9ER71	Rhoj	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9H4E5}; Lipid-anchor {ECO:0000250|UniProtKB:Q9H4E5}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9H4E5}. Note=Localization to the plasma membrane is regulated by GLUL. {ECO:0000250|UniProtKB:Q9H4E5}.
Q8R1B8	Rorb	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16574740}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q92753}."
A0A0G2JGZ6	Rorc	"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|RuleBase:RU004334, ECO:0000256|SAAS:SAAS01037405}."
Q61909	Runx1t1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00440}. Note=Colocalizes with ATN1 in discrete nuclear dots. {ECO:0000250}.
P14069	S100a6	SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250}. Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
E9PVB7	Satb1	"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|PROSITE-ProRule:PRU00108, ECO:0000256|RuleBase:RU000682}."
Q3UPR9	Sbspon	"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}."
P18337	Sell	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1693096, ECO:0000269|PubMed:2646713}; Single-pass type I membrane protein {ECO:0000305}."
Q01102	Selp	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P16109}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P16109}.
Q9QUR8	Sema7a	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17377534}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:17377534}; Extracellular side {ECO:0000269|PubMed:17377534}."
Q60854	Serpinb6a	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17761692, ECO:0000269|PubMed:20451170}."
O08800	Serpinb8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q8C4U3	Sfrp1	SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Cell membrane or extracellular matrix-associated. Released by heparin-binding (By similarity). {ECO:0000250}.
Q9QUM4	Slamf1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q13291}; Single-pass type I membrane protein. Note=Present on the surface of B-cells and T-cells. Located at the plasma membrane contacts between neighboring T cells. {ECO:0000250|UniProtKB:Q13291}.
Q8VHL0	Slc14a1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Basolateral cell membrane; Multi-pass membrane protein. Note=Restricted to the basolateral membrane in various portions of the urothelium.
O88627	Slc28a2	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q8BG16	Slc6a15	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P54116	Stom	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P27105}; Peripheral membrane protein {ECO:0000250|UniProtKB:P27105}; Cytoplasmic side {ECO:0000250|UniProtKB:P27105}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P27105}. Cell membrane {ECO:0000250|UniProtKB:P27105}; Lipid-anchor {ECO:0000250|UniProtKB:P27105}; Cytoplasmic side {ECO:0000250|UniProtKB:P27105}. Membrane raft {ECO:0000250|UniProtKB:P27105}. Melanosome {ECO:0000250|UniProtKB:P27105}. Cytoplasmic vesicle {ECO:0000269|PubMed:10383825}. Note=Localizes to juxtanuclear structure probably derived from the Golgi apparatus. Colocalizes with cortical actin microfilaments at small plasma membrane protrusions. Associates with alpha-granular lipid rafts. Translocates from the alpha-granular lipid rafts to the cell membrane on thrombin activation and selectively enriched in released microvesicles. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000250|UniProtKB:P27105}."
Q9WV89	Stxbp4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10394363}.
P48025	Syk	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:15845454}. Cytoplasm, cytosol {ECO:0000305|PubMed:15845454}. Cytoplasmic vesicle, phagosome {ECO:0000269|PubMed:15845454}."
Q8BGV3	Tacstd2	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q91XT6	Tc2n	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11526914}.
Q14BI7	Tdrd9	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20011505, ECO:0000269|PubMed:20059948, ECO:0000269|PubMed:28633017}. Nucleus {ECO:0000269|PubMed:20059948, ECO:0000269|PubMed:28633017}. Note=Component of the nuage, also named P granule, a germ-cell-specific organelle required to repress transposon activity during meiosis. Specifically localizes to piP-bodies, a subset of the nuage which contains secondary piRNAs. PIWIL2 is required for its localization to piP-bodies. {ECO:0000269|PubMed:20059948}."
P15306	Thbd	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q64302	Tm4sf1	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Note=Colocalizes with SDCBP2 in the apical region of the cell. {ECO:0000250|UniProtKB:P30408}.
P58749	Tm6sf1	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:25422095}; Multi-pass membrane protein {ECO:0000305}.
Q9DCS1	Tmem176a	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
A7E1Z1	Tmem215	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9JJG6	Tmem47	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell junction {ECO:0000269|PubMed:17195181, ECO:0000269|PubMed:26990309}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q9XSV3}. Note=In undifferentiated cultured podocytes localizes to the perinuclear region and translocates to the cell membrane after Cadherin appearance at cell-cell contacts. Upon differentiation of cultured podocytes, protein disappears from cell contacts and expression ceases. Re-expressed upon induced podocyte injury. Colocalizes with FYB1 at cell-cell contacts in podocytes. {ECO:0000269|PubMed:17195181, ECO:0000269|PubMed:21881001}."
P50592	Tnfsf10	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P50591}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:P50591}. Secreted {ECO:0000250|UniProtKB:P50591}. Note=Exists both as membrane-bound and soluble form. {ECO:0000250|UniProtKB:P50591}.
Q66JW3	Tox	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:11850626}."
Q8C0E3	Trim47	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96LD4}. Nucleus {ECO:0000250|UniProtKB:Q96LD4}.
Q61143	Trpc6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9Y210}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y210}.
P62500	Tsc22d1	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.
P98156	Vldlr	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Membrane, clathrin-coated pit; Single-pass type I membrane protein."
Q99KU0	Vmp1	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:Q91ZQ0}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q96GC9}; Multi-pass membrane protein {ECO:0000255}. Vacuole membrane {ECO:0000250|UniProtKB:Q91ZQ0}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q96GC9}.
E9QPU1	Vwf	SUBCELLULAR LOCATION: Secreted {ECO:0000256|SAAS:SAAS00567783}.
Q9EPK5	Wwtr1	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11118213}. Cytoplasm {ECO:0000269|PubMed:11118213}. Note=Concentrates along specific portions of the plasma membrane, and accumulates in punctate nuclear bodies. When phosphorylated is retained in cytoplasm by YWHAZ. Can be retained in the nucleus by MED15 (By similarity). {ECO:0000250}."
P22893	Zfp36	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11796723, ECO:0000269|PubMed:11886850, ECO:0000269|PubMed:15014438, ECO:0000269|PubMed:16508015, ECO:0000269|PubMed:22844456}. Cytoplasm {ECO:0000269|PubMed:11796723, ECO:0000269|PubMed:11886850, ECO:0000269|PubMed:15014438, ECO:0000269|PubMed:16508015, ECO:0000269|PubMed:17288565, ECO:0000269|PubMed:22844456, ECO:0000269|PubMed:24733888, ECO:0000269|PubMed:9703499}. Cytoplasmic granule {ECO:0000269|PubMed:15014438, ECO:0000269|PubMed:15967811}. Cytoplasm, P-body {ECO:0000269|PubMed:15967811}. Note=Shuttles between nucleus and cytoplasm in a CRM1-dependent manner (PubMed:11796723, PubMed:11886850). Localized predominantly in the cytoplasm in a p38 MAPK- and YWHAB-dependent manner (PubMed:11886850, PubMed:16508015). Colocalizes with SH3KBP1 and MAP3K4 in the cytoplasm (By similarity). Component of cytoplasmic stress granules (SGs) (PubMed:15967811). Localizes to cytoplasmic stress granules upon energy starvation (PubMed:15014438). Localizes in processing bodies (PBs) (By similarity). Excluded from stress granules in a phosphorylation MAPKAPK2-dependent manner (PubMed:15014438). Shuttles in and out of both cytoplasmic P-body and SGs (PubMed:15967811). {ECO:0000250|UniProtKB:P26651, ECO:0000269|PubMed:11796723, ECO:0000269|PubMed:11886850, ECO:0000269|PubMed:15014438, ECO:0000269|PubMed:15967811, ECO:0000269|PubMed:16508015}."
Q8K0C5	Zg16	"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Cytoplasmic vesicle lumen {ECO:0000250}. Golgi apparatus lumen {ECO:0000250}. Note=Stored in zymogen granules. {ECO:0000250}."
Q02496	Muc1	"SUBCELLULAR LOCATION: Apical cell membrane; Single-pass type I membrane protein. Note=Exclusively located in the apical domain of the plasma membrane of highly polarized epithelial cells. After endocytosis, internalized and recycled to the cell membrane. Located to microvilli and to the tips of long filopodial protusions (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: [Mucin-1 subunit beta]: Cell membrane. Cytoplasm. Nucleus. Note=On EGF and PDGFRB stimulation, transported to the nucleus through interaction with CTNNB1, a process which is stimulated by phosphorylation. On HRG stimulation, colocalizes with JUP/gamma-catenin at the nucleus (By similarity). Some transportation to the nucleus when infected with C.jejeuni. {ECO:0000250}."
Q64253	Ly6e	"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor."
P97798	Neo1	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
P52840	Sult1a1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q64008	Rab34	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12475955}. Golgi apparatus {ECO:0000269|PubMed:12475955}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:Q9BZG1}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q9BZG1}; Lipid-anchor {ECO:0000250|UniProtKB:Q9BZG1}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9BZG1}. Cell projection, cilium {ECO:0000269|PubMed:29290584}. Note=Recruited to phagosomes containing S.aureus or Mycobacterium. {ECO:0000250|UniProtKB:Q9BZG1}."
P97433	Arhgef28	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Note=Colocalizes with the microtubule radial and cortical systems.
Q640N3	Arhgap30	SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000250}.
Q61096	Prtn3	"SUBCELLULAR LOCATION: Lysosome {ECO:0000250|UniProtKB:P24158}. Secreted {ECO:0000250|UniProtKB:P24158}. Cell membrane {ECO:0000250|UniProtKB:P24158}; Peripheral membrane protein {ECO:0000250|UniProtKB:P24158}; Extracellular side {ECO:0000250|UniProtKB:P24158}. Membrane raft {ECO:0000250|UniProtKB:P24158}; Peripheral membrane protein {ECO:0000250|UniProtKB:P24158}; Extracellular side {ECO:0000250|UniProtKB:P24158}. Note=Localizes predominantly to azurophil granules (primary secretory granules) in neutrophils. Secreted upon neutrophil stimulation by TNF-alpha, lipopolysaccharide (LPS), fMLP and CXCL8/IL8 or during neutrophil transmigration. Following secretion tethered to the cell membrane by CD177. {ECO:0000250|UniProtKB:P24158}."
O08843	Lst1	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Also detected in a perinuclear region corresponding to the localization of the Golgi apparatus and throughout the cytoplasm. {ECO:0000250}.
Q61056	Trpc1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8CGF5	Tlcd4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O70458	Osmr	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P27814	Klrb1c	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein.
Q9D244	Rnase6	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25075772}. Lysosome {ECO:0000305|PubMed:25075772}. Cytoplasmic granule {ECO:0000269|PubMed:25075772}.
B2RPV6	Mmrn1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8CG85	Mamdc2	"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18757743}."
O89029	Matn4	SUBCELLULAR LOCATION: Secreted.
